,id,title,release_year,age_certification,runtime,production_countries,imdb_score
1004,tm220473,Colin Quinn: Unconstitutional,2015,,55,['US'],7.1
1005,tm245148,Jim Jefferies: Freedumb,2016,R,86,['US'],7.7
1006,tm274053,Asperger's Are Us,2016,,83,['US'],6.6
1007,tm239762,Tony Robbins: I Am Not Your Guru,2016,,115,['US'],6.6
1008,tm197503,Hunterrr,2015,R,141,['IN'],7.0
1009,tm201906,Belgica,2016,,127,"['FR', 'BE']",6.7
1010,tm233344,Kapoor & Sons,2016,PG-13,140,['IN'],7.7
1011,tm240162,Udta Punjab,2016,R,148,['IN'],7.7
1012,tm211478,Tamasha,2015,PG,139,['IN'],7.3
1013,tm244758,Breaking the Bank,2016,,106,['GB'],4.8
1014,tm321189,All About Asado,2016,,90,['AR'],6.5
1015,tm245722,Chronically Metropolitan,2016,,86,['US'],4.9
1016,tm282915,Fate/Grand Order: First Order,2016,,72,['JP'],5.7
1017,tm232931,Hannibal Buress: Comedy Camisado,2016,R,67,['US'],6.6
1018,tm227922,Anjelah Johnson: Not Fancy,2015,,63,['US'],5.7
1019,tm272854,Force 2,2016,PG,123,['IN'],6.2
1020,tm233015,Fitoor,2016,,131,['IN'],5.4
1021,tm139590,Triumph in the Skies,2015,,100,['HK'],4.3
1022,tm242422,In the Shadow of Iris,2016,,99,['FR'],6.1
1023,tm252245,The White Helmets,2016,,41,"['SY', 'GB']",
1024,tm193211,Mucize,2015,PG-13,136,['TR'],7.6
1025,tm270555,The Ivory Game,2016,,112,"['AT', 'US']",7.9
1026,tm236999,Our Lovers,2016,,88,['ES'],6.7
1027,tm233570,Beauty and the Bestie,2015,,119,['PH'],4.6
1028,tm233023,Tom Segura: Mostly Stories,2016,,73,['US'],7.5
1029,tm193388,Dhanak,2015,,106,['IN'],7.9
1030,tm234466,Jonah,2016,PG,97,['BR'],5.4
1031,tm376111,Chocolate City: Vegas Strip,2016,PG-13,89,['US'],3.7
1032,tm239769,I'll Sleep When I'm Dead,2016,,82,['US'],6.6
1033,tm540757,Project Marathwada,2016,,110,['IN'],6.5
1034,tm207668,ABCD 2,2015,PG,154,['IN'],5.4
1035,tm228839,Ali Baba and the 7 Dwarfs,2015,PG-13,114,['TR'],5.6
1036,tm233366,Te3n,2016,PG-13,136,['IN'],7.3
1037,tm230524,"Chatô, The King of Brazil",2015,,100,['BR'],5.4
1038,tm233157,The Guardian Brothers,2016,PG,103,['CN'],5.4
1039,tm245042,Budhia Singh: Born to Run,2016,,112,['IN'],7.6
1040,tm239947,Mercy,2016,,82,['US'],4.1
1041,tm315345,City of Joy,2016,,74,['CD'],7.5
1042,tm239774,XOXO,2016,,92,['US'],5.3
1043,tm270982,Layla M.,2016,,98,['NL'],6.6
1044,tm238829,Open Season: Scared Silly,2015,PG,84,"['CA', 'US']",
1045,tm233196,Jessica Darling's It List,2016,,79,['US'],5.4
1046,tm246056,Garfunkel and Oates: Trying to be Special,2016,,62,['US'],7.3
1047,tm311494,Slam,2016,,100,['IT'],6.1
1048,tm244635,The Blind Christ,2016,R,95,"['FR', 'CL']",5.8
1049,tm227044,Shaandaar,2015,PG-13,144,['IN'],3.6
1050,tm246579,Rainbow Time,2016,,91,['US'],5.9
1051,tm244868,The Flower of Aleppo,2016,,100,['TN'],5.4
1052,tm245155,The Worthy,2016,,95,['AE'],5.1
1053,tm245293,You Are My Sunday,2016,,119,['IN'],7.7
1054,tm456667,Black,2015,,90,[],4.3
1055,tm232832,The Lion Woman,2016,PG-13,126,"['SE', 'NO']",6.6
1056,tm239933,7:19,2016,,94,['MX'],5.8
1057,tm228657,Cosmos Laundromat,2015,,12,['NL'],
1058,tm247644,Schubert in Love,2016,,94,['DE'],5.0
1059,tm212968,Frank and Cindy,2015,,102,['US'],6.1
1060,tm211424,Dharam Sankat Mein,2015,PG-13,129,['IN'],6.3
1061,tm230927,Puerto Ricans in Paris,2015,R,82,['US'],5.3
1062,tm244577,Love O2O,2016,,105,['CN'],6.4
1063,tm227523,Fifty,2015,,101,['NG'],6.0
1064,tm230426,"Liar, Liar, Vampire",2015,G,66,['US'],5.7
1065,tm240728,Patton Oswalt: Talking for Clapping,2016,,65,['US'],6.7
1066,tm283938,Selfie 69,2016,,116,['RO'],6.1
1067,tm236705,Ricardo O'Farrill: Abrazo Genial,2016,,92,['MX'],5.5
1068,tm244923,My Mother's Wound,2016,PG-13,120,['TR'],7.3
1069,tm266622,Iliza Shlesinger: Confirmed Kills,2016,,77,['US'],6.6
1070,tm134052,Umrika,2015,,98,['IN'],6.6
1071,tm246543,Journey to Greenland,2016,,98,"['GL', 'FR']",6.3
1072,tm272484,Michael Che Matters,2016,,60,['US'],7.2
1073,tm252609,'76,2016,PG-13,118,['NG'],5.6
1074,tm234064,Halal Love,2016,,95,"['LB', 'DE']",6.3
1075,tm240733,100 Meters,2016,,108,['ES'],7.5
1076,tm230478,Brent Morin: I'm Brent Morin,2015,,67,['US'],6.5
1077,tm267419,Joe Rogan: Triggered,2016,,63,['US'],7.4
1078,tm232930,Kyaa Kool Hain Hum 3,2016,,124,['IN'],1.9
1079,tm149212,Olmo and the Seagull,2015,,90,"['PT', 'SE', 'DK', 'BR', 'FR']",7.2
1080,tm243931,The Beginning of Life,2016,G,98,['BR'],7.5
1081,tm307997,Offline: Are You Ready for the Next Level?,2016,,88,['DE'],5.0
1082,tm235227,Bill Hicks: Reflections,2015,,34,['US'],
1083,tm219699,Phantom,2015,,136,['IN'],5.9
1084,tm234136,MindGamers,2015,,97,['AT'],3.6
1085,tm239764,David Cross: Making America Great Again,2016,,74,['US'],6.5
1086,tm225675,Jeff Dunham: Unhinged in Hollywood,2015,PG,60,['US'],6.7
1087,tm244380,Barcelona: A Love Untold,2016,,132,['PH'],6.6
1088,tm526163,Dinosaur World,2015,,65,['IN'],
1089,tm244079,Sofía Niño de Rivera: Exposed,2016,,80,['MX'],7.3
1090,tm263743,The Doll,2016,,106,['ID'],5.2
1091,tm246485,U Turn,2016,R,121,['IN'],7.5
1092,tm267017,I Love You,2016,,98,['SE'],4.7
1093,tm224255,Very Big Shot,2015,R,107,"['QA', 'LB']",6.9
1094,tm234292,The Heirs,2015,,71,['MX'],5.7
1095,tm238717,Barakah Meets Barakah,2016,,88,['SA'],6.3
1096,tm271974,Pettson and Findus: The Best Christmas Ever,2016,,82,['DE'],5.5
1097,tm193378,Iliza Shlesinger: Freezing Hot,2015,,71,['US'],6.8
1098,tm201855,Katti Batti,2015,,138,['IN'],4.6
1099,tm232267,Mike Epps: Don't Take It Personal,2015,,60,['US'],4.4
1100,tm272012,Ghost Patrol,2016,,50,['CA'],5.1
1101,tm217986,Bangistan,2015,PG-13,135,['IN'],4.5
1102,tm215911,Ludo,2015,,90,['IN'],2.8
1103,tm327551,Born in Syria,2016,,86,"['ES', 'DK']",7.7
1104,tm238486,Theo Von: No Offense,2016,,65,['US'],5.6
1105,tm295349,Ricardo O'Farrill: abrazo navideño,2016,,31,['MX'],5.7
1106,tm233648,"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin",2015,,74,['CA'],6.5
1107,tm286268,#Rucker50,2016,,56,['US'],5.2
1108,tm214589,The Breakup Playlist,2015,,117,['PH'],6.5
1109,tm811691,Thomas & Friends: Full Steam To The Rescue!,2016,,93,['GB'],
1110,tm375681,S Storm,2016,PG-13,90,"['CN', 'HK']",5.1
1111,tm316567,HiGH&LOW: The Red Rain,2016,,110,['JP'],6.1
1112,tm218683,The Massively Mixed-Up Middle School Mystery,2015,,39,['XX'],7.3
1113,tm243070,Those who fear are dead,2016,,110,['EG'],3.6
1114,tm247444,Poshter Girl,2016,PG-13,140,['IN'],6.6
1115,tm224275,3000 Nights,2015,,103,"['AE', 'FR', 'JO', 'LB', 'QA', 'PS']",7.0
1116,tm66466,Wazir,2016,PG-13,103,['IN'],7.2
1117,tm340927,Motu Patlu: King Of Kings,2016,G,109,['IN'],6.5
1118,tm219739,The Love Affair,2015,,125,['PH'],6.3
1119,tm231911,Everyday I Love You,2015,,122,['PH'],7.0
1120,tm242002,Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,2016,,74,['US'],5.9
1121,tm554110,The CEO,2016,PG-13,105,['NG'],5.6
1122,tm211273,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,,78,['US'],6.8
1123,tm860487,Pac’s Scary Halloween,2016,,44,['US'],
1124,tm273933,Reggie Watts: Spatial,2016,,61,['US'],6.0
1125,tm549892,Aerials,2016,,90,['AE'],1.5
1126,tm528287,Chhota Bheem in African Safari,2015,,62,[],6.5
1127,tm317850,Meet The in-Laws,2016,,75,['NG'],6.0
1128,tm494288,Brother Jekwu,2016,,103,['NG'],
1129,tm452046,Hans Teeuwen: Echte Rancune,2016,,103,['NL'],
1130,tm207734,Chris D'Elia: Incorrigible,2015,R,83,['US'],6.4
1131,tm244842,Ordinary People,2016,,107,['PH'],7.3
1132,tm350159,Couple Of Days,2016,,103,['NG'],6.4
1133,tm226320,Kara Bela,2015,PG-13,100,['TR'],6.7
1134,tm279828,Vince & Kath & James,2016,,116,['PH'],6.8
1135,tm319354,Santa Pac's Merry Berry Day,2016,,44,"['US', 'CA', 'JP']",
1136,tm275726,Carlos Ballarta: el amor es de putos,2016,,67,['MX'],7.0
1137,tm311456,Sen Benim HerŞeyimsin,2016,,107,['TR'],6.2
1138,tm350374,Saawan,2016,,90,['PK'],7.3
1139,tm296203,A Chaster Marriage,2016,PG-13,93,['TR'],5.4
1140,tm235232,Misunderstanding,2015,,120,['EG'],4.3
1141,tm234773,Eddie: Strongman,2015,,98,['GB'],7.4
1142,tm243849,Extremis,2016,,24,['US'],
1143,tm257141,Cedric the Entertainer: Live from the Ville,2016,,60,['US'],6.2
1144,tm234069,Wedding Association 2: Circumcision,2015,PG-13,107,['TR'],6.3
1145,tm278279,One in a Billion,2016,,69,['US'],6.7
1146,tm232947,Brahman Naman,2016,,94,"['IN', 'GB']",5.5
1147,tm290157,XV Beyond the Tryline,2016,,91,['GB'],6.8
1148,tm247396,Virunga: Gorillas in Peril,2015,,28,['US'],6.6
1149,tm246810,Santa Banta Pvt Ltd,2016,,112,['IN'],2.7
1150,tm239078,Jada,2016,PG-13,16,['US'],5.4
1151,tm562821,Grandmother's Farm Part 2,2015,,80,['AE'],5.4
1152,tm282988,Dieter Nuhr: Nuhr in Berlin,2016,,68,['DE'],4.7
1153,tm215265,Ave Maria,2015,,15,"['PS', 'FR', 'DE']",
1154,tm211571,Niyazi Gül Dörtnala,2015,PG,106,['TR'],4.5
1155,tm242906,Sila Samayangalil,2016,,101,['IN'],5.8
1156,tm368725,Love Is a Story,2015,,107,['RO'],6.0
1157,tm1223831,Motu Patlu Aur Khazaane Ki Race,2015,,75,[],
1158,tm203056,Husband Factor,2015,PG-13,108,['TR'],6.2
1159,tm233463,Husband Factor: Resurrection,2016,PG,108,['TR'],5.3
1160,tm313374,The Tour,2016,,93,['CZ'],
1161,tm283909,The Super Parental Guardians,2016,,115,['PH'],4.4
1162,tm235005,Oloibiri,2015,,106,"['CA', 'NG']",5.1
1163,tm533845,Sam Kinison: The Scream Continues,2016,,29,['US'],6.1
1164,tm267112,Gang of the Caribbean,2016,,90,['FR'],5.1
1165,tm247767,Kiss of Life,2015,G,102,['TR'],5.9
1166,tm198842,Souk Bazaar,2015,PG,97,['TR'],5.2
1167,tm232855,Everything About Her,2016,,126,['PH'],7.2
1168,tm421214,Saudi Arabia Uncovered,2016,,51,['SA'],
1169,tm350044,A Man Returned,2016,,30,[],
1170,tm424879,Road To High & Low,2016,,95,['JP'],6.6
1171,tm245050,The Arbitration,2016,,100,['NG'],5.0
1172,tm247159,The Last Egg,2016,,95,['VN'],4.8
1173,tm244041,Jandino: Whatever it Takes,2016,,94,"['NL', 'GB']",4.5
1174,tm407961,Gbomo Gbomo Express,2015,,96,['NG'],5.0
1175,tm225416,Janoskians: Untold and Untrue,2015,,88,['US'],3.7
1176,tm198786,Crazy Beautiful You,2015,,115,['PH'],7.0
1177,tm232090,Snervous Tyler Oakley,2015,PG-13,82,['US'],5.4
1178,tm571645,Sommore: The Reign Continues,2015,R,92,['US'],7.0
1179,tm350727,Hajwala: The Missing Engine,2016,R,96,['AE'],2.0
1180,tm212909,Just the Way You Are,2015,,107,['PH'],6.3
1181,tm233121,Dedemin Fişi,2016,PG,100,['TR'],5.5
1182,tm272666,The Unmarried Wife,2016,,130,['PH'],5.9
1183,tm245791,My Stupid Boss,2016,,106,['ID'],7.1
1184,tm271333,The Third Party,2016,,118,['PH'],6.1
1185,tm409220,Ojukokoro (Greed),2016,,112,['NG'],6.6
1186,tm421382,Lakeeran,2016,,113,['IN'],6.3
1187,tm1063792,,2015,,11,[],
1188,tm234735,Time Out,2015,,98,['IN'],6.0
1189,tm312676,Leave No Trace,2018,PG,109,"['CA', 'US']",7.1
1190,tm239091,Blade Runner 2049,2017,R,164,"['CA', 'HU', 'MX', 'ES', 'GB', 'US']",8.0
1191,tm313149,12 Strong,2018,R,131,['US'],6.5
1192,tm244208,It,2017,R,135,['US'],7.3
1193,tm244259,Wind River,2017,R,107,"['FR', 'GB', 'US']",7.7
1194,tm310953,Sorry to Bother You,2018,R,111,['US'],6.9
1195,tm232797,Dunkirk,2017,PG-13,107,"['FR', 'NL', 'GB', 'US']",7.8
1196,tm366889,Vice,2018,R,132,['US'],7.2
1197,tm315174,Phantom Thread,2017,R,130,"['US', 'GB']",7.4
1198,tm315344,Molly's Game,2017,R,140,"['CN', 'CA', 'US']",7.4
1199,tm318206,Den of Thieves,2018,R,140,['US'],7.0
1200,tm266714,CHiPS,2017,R,100,['US'],6.0
1201,tm425889,The Ballad of Buster Scruggs,2018,R,132,['US'],7.3
1202,tm244220,Darkest Hour,2017,PG-13,125,['GB'],7.4
1203,tm367185,Won't You Be My Neighbor?,2018,PG-13,95,['US'],8.4
1204,tm287684,The Ritual,2017,R,94,"['CA', 'GB']",6.3
1205,tm244174,Okja,2017,PG-13,122,"['KR', 'US']",7.3
1206,tm288010,Final Score,2018,R,104,"['GB', 'US']",5.7
1207,tm300280,Rumble: The Indians Who Rocked the World,2017,,103,['CA'],7.7
1208,tm244364,The Nightingale,2018,R,136,['AU'],7.3
1209,tm359978,Forgotten,2017,,109,['KR'],7.4
1210,tm414073,Backtrace,2018,R,92,"['CA', 'US']",3.8
1211,tm412550,Set It Up,2018,R,105,['US'],6.5
1212,tm299741,Crooked House,2017,PG-13,115,['GB'],6.3
1213,tm239286,The Cloverfield Paradox,2018,PG-13,102,['US'],5.5
1214,tm272060,What Happened to Monday,2017,R,123,"['FR', 'RO', 'GB', 'BE', 'DE']",6.8
1215,tm266666,Gerald's Game,2017,,104,['US'],6.5
1216,tm288499,Roma,2018,R,135,"['US', 'MX']",7.7
1217,tm370212,Adrift,2018,PG-13,96,"['HK', 'IS', 'US']",6.6
1218,tm244191,The Beguiled,2017,R,93,['US'],6.8
1219,tm350379,Ghostland,2018,R,91,"['CA', 'FR']",6.4
1220,tm350,The Bad Batch,2017,R,119,['US'],5.2
1221,tm320570,Tully,2018,R,96,"['CA', 'US']",7.0
1222,tm357589,The Guernsey Literary & Potato Peel Pie Society,2018,,124,"['GB', 'US', 'FR']",7.3
1223,tm233482,The Foreigner,2017,R,113,"['IN', 'CN', 'US', 'GB']",7.0
1224,tm320281,"Can't Stop, Won't Stop: A Bad Boy Story",2017,R,80,['US'],5.3
1225,tm319818,Outlaw King,2018,R,121,"['US', 'GB']",6.9
1226,tm414887,Destination Wedding,2018,R,90,['US'],6.0
1227,tm374132,Bird Box,2018,R,124,['US'],6.6
1228,tm280828,The Babysitter,2017,R,85,['US'],6.4
1229,tm371380,The Package,2018,R,94,['US'],5.5
1230,tm244197,Replicas,2018,PG-13,94,"['PR', 'US', 'GB', 'CN']",5.5
1231,tm420348,Cam,2018,,95,['US'],5.9
1232,tm435086,Level 16,2018,,102,['CA'],6.0
1233,tm414285,Abducted in Plain Sight,2018,,91,['US'],6.8
1234,tm244206,The Meyerowitz Stories (New and Selected),2017,,112,['US'],6.9
1235,tm273294,I Don't Feel at Home in This World Anymore,2017,,93,['US'],6.9
1236,tm280060,Step Sisters,2018,PG-13,104,['US'],5.4
1237,tm226948,The Shack,2017,PG-13,132,['US'],6.2
1238,tm371900,Calibre,2018,,101,['GB'],6.8
1239,tm271951,Apostle,2018,R,130,"['US', 'GB']",6.3
1240,tm244332,Beirut,2018,R,110,['US'],6.4
1241,tm410435,To All the Boys I've Loved Before,2018,PG-13,100,['US'],7.1
1242,tm362881,Mirai,2018,PG,94,['JP'],7.0
1243,tm221953,Bāhubali 2: The Conclusion,2017,,168,['IN'],8.2
1244,tm227940,Berlin Syndrome,2017,R,116,['AU'],6.2
1245,tm311815,Icarus,2017,,121,['US'],7.9
1246,tm362098,The Kindergarten Teacher,2018,R,96,['US'],6.7
1247,tm317542,1922,2017,,101,['US'],6.2
1248,tm313683,Veronica,2017,R,105,['ES'],6.2
1249,tm414220,Little Italy,2018,R,102,"['CA', 'US']",5.7
1250,tm299677,Hold the Dark,2018,,126,['US'],5.6
1251,tm244325,Mute,2018,R,126,"['GB', 'DE']",5.4
1252,tm435916,The Perfection,2018,,90,['US'],6.1
1253,tm433228,Red Joan,2018,R,101,['GB'],6.4
1254,tm244307,Bright,2017,R,117,['US'],6.3
1255,tm346943,Kodachrome,2017,,105,['US'],6.8
1256,tm233362,The Discovery,2017,,102,['US'],6.2
1257,tm310706,Extinction,2018,R,96,['US'],5.8
1258,tm244233,The Book of Henry,2017,PG-13,106,['US'],6.5
1259,tm317566,Creep 2,2017,R,80,['US'],6.4
1260,tm422491,Speed Kills,2018,R,102,"['US', 'PR']",4.2
1261,tm449070,Black Mirror: Bandersnatch,2018,R,90,"['GB', 'US']",7.1
1262,tm315340,The Night Comes for Us,2018,R,121,['ID'],6.9
1263,tm307283,Cargo,2017,,105,['AU'],6.3
1264,tm366567,When We First Met,2018,PG-13,97,['US'],6.4
1265,tm300615,Mudbound,2017,R,135,['US'],7.4
1266,tm243326,Anon,2018,R,100,"['US', 'GB']",6.1
1267,tm349803,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,,94,"['CA', 'US']",7.6
1268,tm323634,A-X-L,2018,PG-13,98,['US'],5.3
1269,tm316414,Hell Fest,2018,R,88,['US'],5.5
1270,tm434202,Malevolent,2018,,89,['GB'],4.8
1271,tm410742,Happy as Lazzaro,2018,PG-13,125,"['IT', 'CH', 'FR']",7.5
1272,tm244229,Everybody Knows,2018,R,132,"['IT', 'ES', 'FR']",6.9
1273,tm348993,22 July,2018,R,143,"['US', 'IS', 'NO']",6.8
1274,tm427308,Falls Around Her,2018,,100,['CA'],6.3
1275,tm245176,Sand Castle,2017,,113,"['IQ', 'GB']",6.3
1276,tm240076,Buster's Mal Heart,2017,,96,['US'],6.2
1277,tm298084,On Body and Soul,2017,,116,['HU'],7.5
1278,tm423436,Ben Is Back,2018,R,103,['US'],6.7
1279,tm368449,Private Life,2018,R,123,['US'],7.2
1280,tm433381,Mirage,2018,R,129,['ES'],7.4
1281,tm349278,Ravenous,2017,,103,['CA'],5.8
1282,tm363488,RBG,2018,PG,98,['US'],7.6
1283,tm315424,An Evening with Beverly Luff Linn,2018,R,108,"['GB', 'US']",5.8
1284,tm310899,Mary Magdalene,2018,R,120,"['US', 'AU', 'GB']",5.9
1285,tm417496,Dumplin',2018,PG-13,110,['US'],6.5
1286,tm352588,Tau,2018,R,97,['US'],5.8
1287,tm314477,Skins,2017,,78,['ES'],6.1
1288,tm368241,Duck Butter,2018,,94,['US'],5.2
1289,tm503797,Never Stop Dreaming: The Life and Legacy of Shimon Peres,2018,,129,['US'],
1290,tm244175,The Zookeeper's Wife,2017,PG-13,126,"['CZ', 'GB', 'US']",7.0
1291,tm321224,"Game Over, Man!",2018,R,100,['US'],5.4
1292,tm416105,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,,74,['US'],7.1
1293,tm285107,Victoria & Abdul,2017,PG-13,111,"['GB', 'US']",6.8
1294,tm319882,Hampstead,2017,PG-13,102,['GB'],6.0
1295,tm420274,Hannah Gadsby: Nanette,2018,,69,['AU'],8.1
1296,tm233294,War Machine,2017,R,122,['US'],6.0
1297,tm320255,Bad Genius,2017,PG-13,130,['TH'],7.6
1298,tm412623,The Kissing Booth,2018,,105,['GB'],5.9
1299,tm374313,The Forgiven,2018,R,115,"['GB', 'ZA']",5.9
1300,tm411311,King of Thieves,2018,R,108,['GB'],5.5
1301,tm368040,The Titan,2018,R,97,"['US', 'GB', 'ES']",4.8
1302,tm324155,Security,2017,R,87,['US'],5.7
1303,tm244148,Mowgli: Legend of the Jungle,2018,PG-13,105,"['GB', 'US']",6.5
1304,tm363248,A Futile and Stupid Gesture,2018,,101,['US'],6.7
1305,tm420745,How It Ends,2018,,113,"['US', 'CA']",5.0
1306,tm217228,Death Note,2017,NC-17,101,['US'],4.5
1307,tm426274,The After Party,2018,,89,['US'],5.7
1308,tm363103,Perfect Bid: The Contestant Who Knew Too Much,2017,,72,['CA'],6.5
1309,tm139885,The Other Side of the Wind,2018,R,122,"['IR', 'US', 'FR']",6.7
1310,tm244317,To the Bone,2017,,107,['US'],6.8
1311,tm219259,Goon: Last of the Enforcers,2017,R,101,['CA'],5.8
1312,tm370232,We the Animals,2018,R,94,['US'],6.9
1313,tm431347,Reversing Roe,2018,,99,['US'],7.5
1314,tm211554,Beyond Skyline,2017,R,105,"['GB', 'ID', 'CA', 'CN', 'SG', 'US']",5.3
1315,tm292837,The Bar,2017,,102,['ES'],6.3
1316,tm351101,Errementari: The Blacksmith and the Devil,2018,,98,"['ES', 'FR']",6.4
1317,tm328443,Illang: The Wolf Brigade,2018,R,139,['KR'],5.9
1318,tm367065,Shirkers,2018,,96,"['SG', 'GB', 'US']",7.4
1319,tm281935,A Bad Moms Christmas,2017,R,104,['US'],5.6
1320,tm439484,Welcome Home,2018,R,97,['US'],5.2
1321,tm306301,Piercing,2018,R,82,"['US', 'FR']",5.5
1322,tm139545,The Outsider,2018,R,120,['US'],6.2
1323,tm374454,Indian Horse,2018,PG-13,96,['CA'],7.2
1324,tm423373,Andhadhun,2018,R,139,['IN'],8.2
1325,tm349800,Unicorn Store,2017,,92,['US'],5.5
1326,tm284015,My Happy Family,2017,,119,"['GE', 'DE', 'FR']",7.4
1327,tm289181,Newness,2017,,112,['US'],6.3
1328,tm312767,Monster High: Electrified,2017,PG,72,['US'],5.3
1329,tm436470,No Escape Room,2018,,85,['US'],5.0
1330,tm411415,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,,94,['US'],7.9
1331,tm370392,The Week Of,2018,PG-13,116,['US'],5.2
1332,tm300184,iBoy,2017,,90,['GB'],6.0
1333,tm414962,May the Devil Take You,2018,R,110,['ID'],5.9
1334,tm370436,The Breaker Upperers,2018,,82,['NZ'],5.9
1335,tm307910,What the Health,2017,,97,['US'],7.4
1336,tm321596,The Long Dumb Road,2018,R,90,['US'],6.1
1337,tm351214,Long Shot,2017,,40,['US'],7.4
1338,tm324870,Dude,2018,,90,['US'],5.2
1339,tm406111,The Debt Collector,2018,,95,"['US', 'GB']",5.8
1340,tm298339,Handsome Devil,2017,,95,['IE'],7.0
1341,tm245937,Win It All,2017,,88,['US'],6.2
1342,tm464542,Tottaa Pataaka Item Maal,2018,,107,['IN'],7.6
1343,tm356742,Trolls Holiday,2017,PG,26,[],6.1
1344,tm351216,Joan Didion: The Center Will Not Hold,2017,,92,['US'],7.4
1345,tm298846,The Incredible Jessica James,2017,,83,['US'],6.5
1346,tm414709,Siberia,2018,R,104,"['CA', 'US', 'DE']",4.3
1347,tm367250,The Resistance Banker,2018,R,124,['NL'],6.9
1348,tm411507,John Mulaney: Kid Gorgeous at Radio City,2018,R,64,['US'],7.9
1349,tm327199,The Saint,2017,PG-13,92,['US'],4.9
1350,tm409766,In Darkness,2018,,100,"['GB', 'US']",5.7
1351,tm420797,Sierra Burgess Is a Loser,2018,PG-13,105,['US'],5.8
1352,tm438502,Sad Hill Unearthed,2017,,86,['ES'],7.4
1353,tm411958,Ibiza,2018,,94,['US'],5.2
1354,tm322243,Shimmer Lake,2017,,83,"['CA', 'US']",6.3
1355,tm305437,Hey Arnold! The Jungle Movie,2017,,81,['US'],7.5
1356,tm312577,Fullmetal Alchemist,2017,PG-13,135,['JP'],5.2
1357,tm413049,Animal World,2018,R,125,['CN'],6.4
1358,tm346467,Wheelman,2017,R,82,['US'],6.4
1359,tm299790,Cristela Alonzo: Lower Classy,2017,,66,['US'],6.4
1360,tm219258,Brain on Fire,2017,PG-13,88,"['CA', 'IE']",6.6
1361,tm266652,Bleach,2018,PG-13,108,['JP'],6.4
1362,tm244368,You Get Me,2017,,89,['US'],4.7
1363,tm419733,"My Teacher, My Obsession",2018,,105,['US'],4.4
1364,tm352774,Voyeur,2017,R,95,['US'],6.1
1365,tm406881,Bathtubs Over Broadway,2018,PG-13,87,['US'],7.6
1366,tm317110,Psychokinesis,2018,,101,['KR'],5.9
1367,tm437608,Adam Sandler: 100% Fresh,2018,R,73,['US'],7.5
1368,tm407827,Girl,2018,R,105,"['NL', 'BE']",7.1
1369,tm326723,The Polka King,2017,,95,['US'],5.9
1370,tm241990,Blame!,2017,PG-13,106,['JP'],6.6
1371,tm285356,First They Killed My Father,2017,R,136,"['US', 'KH']",7.2
1372,tm324820,MFKZ,2018,R,95,"['FR', 'JP']",6.7
1373,tm330869,Show Dogs,2018,PG,92,"['US', 'GB']",3.8
1374,tm285340,Girlfriend's Day,2017,,70,['US'],5.2
1375,tm270999,The Resurrection of Gavin Stone,2017,PG,91,['US'],6.2
1376,tm349138,One of Us,2017,,95,['US'],7.0
1377,tm448122,Taylor Swift: Reputation Stadium Tour,2018,PG-13,125,['US'],8.3
1378,tm315584,Godzilla: Planet of the Monsters,2017,PG-13,89,['JP'],6.0
1379,tm420334,Like Father,2018,R,103,['US'],6.1
1380,tm282910,Fireworks,2017,PG-13,90,['JP'],5.6
1381,tm425138,Godzilla: The Planet Eater,2018,PG,91,['JP'],5.0
1382,tm307515,Amar,2017,,105,"['US', 'ES']",5.1
1383,tm244519,Birth of the Dragon,2017,PG-13,103,"['US', 'CA', 'CN']",5.6
1384,tm347821,Outside In,2018,,109,['US'],6.7
1385,tm298779,Lu Over the Wall,2017,PG,117,['JP'],6.8
1386,tm369179,Irreplaceable You,2018,,96,['US'],6.4
1387,tm266685,Sandy Wexler,2017,,130,['US'],5.2
1388,tm409618,Alex Strangelove,2018,R,99,['US'],6.3
1389,tm347530,Gaga: Five Foot Two,2017,,100,['US'],7.0
1390,tm313974,Get Me Roger Stone,2017,,100,['US'],7.3
1391,tm359103,River's Edge,2018,,118,['JP'],6.2
1392,tm1883,Animal Crackers,2017,PG,105,"['CN', 'US', 'ES']",5.8
1393,tm271959,Mr. Roosevelt,2017,,90,['US'],6.2
1394,tm318200,Clive Davis: The Soundtrack of Our Lives,2017,PG-13,123,['US'],7.4
1395,tm375912,Ricky Gervais: Humanity,2018,R,79,['GB'],8.0
1396,tm407775,Lady J,2018,,109,['FR'],6.8
1397,tm436844,The Christmas Chronicles,2018,PG,104,['US'],7.0
1398,tm429163,The Photographer of Mauthausen,2018,R,110,['ES'],6.7
1399,tm308090,Bill Nye: Science Guy,2017,,95,['US'],6.5
1400,tm427465,Quincy,2018,,124,['US'],7.6
1401,tm349529,Cuba and the Cameraman,2017,,113,"['CU', 'US']",8.2
1402,tm372318,The World Is Yours,2018,R,94,['FR'],6.3
1403,tm299761,Toc Toc,2017,PG,90,['ES'],6.8
1404,tm348003,Acts of Vengeance,2017,R,87,"['BG', 'US']",5.7
1405,tm219252,Carrie Pilby,2017,,98,['US'],6.6
