,id,title,release_year,age_certification,runtime,production_countries,imdb_score
95,tm49178,Vampires,1998,R,104,['US'],6.1
96,tm191989,Donnie Brasco,1997,R,127,['US'],7.7
97,tm121879,A River Runs Through It,1992,PG,123,['US'],7.2
98,tm44402,"Girl, Interrupted",1999,R,127,"['DE', 'US']",7.3
99,tm187187,Last Action Hero,1993,PG-13,131,['US'],6.4
100,tm6859,My Girl,1991,PG,103,['US'],6.9
101,tm118238,Wyatt Earp,1994,PG-13,191,['US'],6.7
102,tm111163,Eraser,1996,R,115,"['US', 'CA']",6.1
103,tm190835,Neon Genesis Evangelion: The End of Evangelion,1997,,87,['JP'],8.0
104,tm192769,Vegas Vacation,1997,PG,94,['US'],5.9
105,tm187791,In the Line of Fire,1993,R,128,['US'],7.2
106,tm113576,Little Women,1994,PG,115,['US'],7.3
107,tm65686,U.S. Marshals,1998,PG-13,131,['US'],6.5
108,tm191387,Anaconda,1997,PG-13,89,"['PE', 'US', 'BR']",4.8
109,tm19494,The Replacements,2000,PG-13,118,['US'],6.6
110,tm191772,Seven Years in Tibet,1997,PG-13,136,['US'],7.1
111,tm12499,The Net,1995,PG-13,114,['US'],5.9
112,tm186589,Cliffhanger,1993,R,112,"['IT', 'US', 'FR']",6.5
113,tm189764,Menace II Society,1993,R,97,['US'],7.5
114,tm10739,Johnny Mnemonic,1995,R,97,"['CA', 'US']",5.6
115,tm1822,3 Ninjas Kick Back,1994,PG,93,"['JP', 'US']",4.5
116,tm55369,Edge of Seventeen,1998,R,104,['US'],6.8
117,tm192431,The Devil's Own,1997,R,107,['US'],6.2
118,tm192199,Spawn,1997,PG-13,96,['US'],5.2
119,tm56033,Croupier,1998,R,94,"['IE', 'GB', 'DE', 'FR']",7.0
120,tm117488,The Next Karate Kid,1994,PG,107,['US'],4.5
121,tm190811,Geronimo: An American Legend,1993,PG-13,115,['US'],6.5
122,tm191431,Double Team,1997,R,93,"['HK', 'US']",4.8
123,tm10811,Heavy,1995,R,105,['US'],6.8
124,tm49839,The Players Club,1998,R,104,['US'],5.9
125,tm67635,Kuch Kuch Hota Hai,1998,G,185,['IN'],7.6
126,tm320211,Children of God,1994,,63,['GB'],6.3
127,tm7073,Knight Rider 2000,1991,G,91,['US'],4.5
