,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,crew
19,ts20960,Power Rangers,1993,TV-Y7,22,"['action', 'scifi', 'fantasy', 'family']",['US'],29.0,6.5,22110.0,"['Russell Curry 1612076 ACTOR', 'Hunter Deno 109735 ACTOR', 'Kai Moya 1611691 ACTOR', 'Tessa Rao 802264 ACTOR', 'Chance Perez 1654633 ACTOR', 'Jordan Fite 2098092 ACTOR', 'Jared Turner 85280 ACTOR', 'Josephine Davison 450219 ACTOR', 'Torum Heng 1429960 ACTOR', 'Campbell Cooley 85112 ACTOR']"
20,ts25252,Yu-Gi-Oh!,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,7.3,21113.0,"['Megumi Ogata 340 ACTOR', 'Toshiyuki Morikawa 30768 ACTOR', 'Hikaru Midorikawa 14002 ACTOR', 'Yumi Kakazu 30775 ACTOR', 'Ryotaro Okiayu 123541 ACTOR', 'Tsutomu Kashiwakura 97925 ACTOR', 'Kaneto Shiozawa 95739 ACTOR', 'Katsue Miwa 115938 ACTOR', 'Yukana 461 ACTOR', 'Takeshi Aono 42359 ACTOR', 'Michiko Neya 39333 ACTOR', 'Ryou Naitou 407872 ACTOR']"
21,ts22193,The Magic School Bus,1994,TV-Y,26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","['CA', 'US']",4.0,7.8,9829.0,"['Daniel DeSanto 369664 ACTOR', 'Stuart Stone 77914 ACTOR', 'Erica Luttrell 32507 ACTOR', 'Malcolm-Jamal Warner 23244 ACTOR', 'Danny Tamberelli 59814 ACTOR', 'Lily Tomlin 21032 ACTOR', 'Frank Welker 529 ACTOR', 'Whoopi Goldberg 6640 ACTOR', 'Susan Blu 93576 ACTOR', 'Edward James Olmos 158 ACTOR', 'Andre Ottley-Lorant 97271 ACTOR']"
22,ts22489,Goosebumps,1995,TV-PG,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",4.0,7.6,13493.0,['R.L. Stine 78718 ACTOR']
23,ts21034,InuYasha,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,7.9,15823.0,"['Kappei Yamaguchi 58215 ACTOR', 'Satsuki Yukino 434 ACTOR', 'Yasunao Aoki 115792 DIRECTOR', 'Masashi Ikeda 200167 DIRECTOR']"
24,ts16919,All That,1994,TV-G,22,"['comedy', 'family', 'music']",['US'],11.0,7.5,7718.0,"['Chelsea Brummet 100156 ACTOR', 'Lisa Foiles 100159 ACTOR', 'Kyle Sullivan 90227 ACTOR', 'Denzel Whitaker 12442 ACTOR', 'Jack De Sena 15491 ACTOR', 'Kianna Underwood 95291 ACTOR', 'Ryan Coleman 100163 ACTOR', ""Lil' JJ 31026 ACTOR""]"
25,ts8570,Barney & Friends,1992,TV-G,28,"['comedy', 'family']",['US'],14.0,3.8,9624.0,"['David Joyner 33746 ACTOR', 'Carey Stinson 86215 ACTOR', 'Dean Wendt 86217 ACTOR', 'Julie Johnson 86218 ACTOR', 'Jeff Ayers 86222 ACTOR', 'Patty Wirtz 86225 ACTOR', 'Michaela Dietz 86229 ACTOR', 'Bob West 442873 ACTOR', 'Adrianne Kangas 86233 ACTOR', 'Tory Green 86234 ACTOR', 'Emilio Mazur 86235 ACTOR', 'Kyle Nelson 86237 ACTOR', 'Lauren Mayeux 86239 ACTOR', 'Jerad Harris 86242 ACTOR']"
26,ts27693,Kenan & Kel,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,7.8,15620.0,"['Kenan Thompson 36230 ACTOR', 'Kel Mitchell 63029 ACTOR', 'Vanessa Baden 97206 ACTOR', 'Ken Foree 12143 ACTOR', 'Teal Marchande 97207 ACTOR', 'Dan Frischman 97208 ACTOR']"
27,ts22286,Cardcaptor Sakura,1998,TV-Y7,25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['JP'],4.0,8.0,5008.0,"['Sakura Tange 104071 ACTOR', 'Junko Iwao 94454 ACTOR', 'Motoko Kumai 11396 ACTOR', 'Aya Hisakawa 11413 ACTOR', 'Emi Shinohara 11398 ACTOR', 'Hideyuki Tanaka 98479 ACTOR', 'Masaya Onosaka 40662 ACTOR', 'Megumi Ogata 340 ACTOR', 'Tomokazu Seki 462 ACTOR', 'Yukana 461 ACTOR', 'Tomoko Kawakami 84496 ACTOR', 'Nozomu Sasaki 21512 ACTOR']"
28,ts11397,Adventures of Sonic the Hedgehog,1993,TV-Y7,22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",['US'],4.0,6.2,3902.0,"['Jaleel White 27109 ACTOR', 'Christopher Evan Welch 65140 ACTOR', 'Long John Baldry 965499 ACTOR', 'Garry Chalk 2182 ACTOR', 'Philip Maurice Hayes 44942 ACTOR', 'Ian James Corlett 24532 ACTOR']"
