,Unnamed: 0,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score
25,25,ts16919,All That,1994,TV-G,22,"['comedy', 'family', 'music']",['US'],11.0,7.5
26,26,ts8570,Barney & Friends,1992,TV-G,28,"['comedy', 'family']",['US'],14.0,3.8
27,27,ts27693,Kenan & Kel,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,7.8
28,28,ts251477,My First Errand,1991,TV-G,18,"['documentation', 'family', 'reality']",['JP'],12.0,
29,29,ts22286,Cardcaptor Sakura,1998,TV-Y7,25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['JP'],4.0,8.0
30,30,ts11397,Adventures of Sonic the Hedgehog,1993,TV-Y7,22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",['US'],4.0,6.2
31,31,ts21581,Girlfriends,2000,TV-PG,21,"['drama', 'comedy']",['US'],8.0,7.2
32,32,ts20918,The Parkers,1999,TV-PG,19,['comedy'],['US'],5.0,6.8
33,33,ts21693,"Sister, Sister",1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,6.2
34,34,ts20939,Moesha,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,5.8
35,35,ts21684,Heartbreak High,1994,TV-MA,45,"['drama', 'romance', 'comedy']",['AU'],7.0,7.8
36,36,ts22080,Oggy and the Cockroaches,1999,TV-Y7,9,"['animation', 'comedy', 'family', 'action', 'european']",['FR'],7.0,7.4
37,37,ts28516,Okupas,2000,TV-MA,40,"['drama', 'crime']",['AR'],1.0,9.0
38,38,ts22039,H,1998,TV-MA,25,['comedy'],['FR'],4.0,7.4
39,39,ts224786,Escalona,1991,TV-MA,44,['drama'],['CO'],1.0,
40,40,ts4,Breaking Bad,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,9.5
41,41,ts20371,Top Gear,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],32.0,8.7
42,42,ts9,The Walking Dead,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,8.2
43,43,ts21465,Supernatural,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15.0,8.4
44,44,ts288536,The Great British Baking Show,2010,TV-PG,57,"['reality', 'european']",['GB'],12.0,8.6
45,45,ts12724,30 Rock,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,8.3
46,46,ts6644,Borgen,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,8.5
47,47,ts8308,Community,2009,TV-PG,23,['comedy'],['US'],6.0,8.5
48,48,ts21469,Grey's Anatomy,2005,TV-14,49,"['drama', 'romance']",['US'],19.0,7.6
49,49,ts17156,Arrested Development,2003,TV-MA,28,['comedy'],['US'],5.0,8.7
50,50,ts22011,Heartland,2007,TV-PG,44,"['drama', 'family']",['CA'],15.0,8.4
51,51,ts26091,The Staircase,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],2.0,7.8
52,52,ts22337,NCIS,2003,TV-14,43,"['crime', 'action', 'thriller', 'drama', 'comedy']",['US'],20.0,7.8
53,53,ts3371,Avatar: The Last Airbender,2005,TV-Y7,24,"['scifi', 'animation', 'action', 'family', 'fantasy']",['US'],3.0,9.3
54,54,ts20604,Friday Night Lights,2006,TV-14,43,"['drama', 'sport']",['US'],5.0,8.7
55,55,ts20573,The IT Crowd,2006,TV-14,25,"['comedy', 'european']",['GB'],5.0,8.5
56,56,ts22099,The Spectacular Spider-Man,2008,TV-Y7,22,"['action', 'animation', 'family', 'scifi', 'comedy']",['US'],2.0,8.3
57,57,ts21464,Zoey 101,2005,TV-G,25,"['drama', 'comedy', 'family', 'romance']",['US'],4.0,6.1
58,58,ts11313,DEATH NOTE,2006,TV-14,24,"['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']",['JP'],1.0,9.0
59,59,ts21247,The Vampire Diaries,2009,TV-14,42,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']",['US'],8.0,7.7
60,60,ts20305,Naruto,2002,TV-PG,23,"['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']",['JP'],6.0,8.4
61,61,ts21511,My Little Pony: Friendship Is Magic,2010,TV-Y7,22,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']","['CA', 'US']",9.0,7.6
62,62,ts17942,Chappelle's Show,2003,TV-14,21,"['comedy', 'music']",['US'],3.0,8.8
63,63,ts30311,Victorious,2010,TV-G,25,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']",['US'],4.0,6.9
64,64,ts22267,Trailer Park Boys,2001,TV-MA,25,"['comedy', 'crime']",['CA'],12.0,8.6
65,65,ts2230,America's Next Top Model,2003,TV-14,44,['reality'],['US'],24.0,5.6
66,66,ts19036,The Fairly OddParents,2001,TV-Y7,23,"['comedy', 'scifi', 'animation', 'family', 'fantasy']","['CA', 'US']",10.0,7.2
67,67,ts22456,Ned's Declassified School Survival Guide,2004,TV-G,25,"['family', 'comedy']",['US'],3.0,7.4
68,68,ts22018,iCarly,2007,TV-G,26,"['comedy', 'family', 'romance']",['US'],6.0,6.7
69,69,ts21197,Merlin,2008,TV-PG,44,"['action', 'drama', 'scifi', 'fantasy', 'european']",['GB'],5.0,7.9
70,70,ts21544,Transformers: Prime,2010,TV-Y7,22,"['action', 'animation', 'comedy', 'drama', 'family', 'scifi']",['US'],4.0,7.9
71,71,ts31263,The Mole,2001,TV-14,47,['reality'],"['BE', 'US']",5.0,7.6
72,72,ts30313,Offspring,2010,,44,"['drama', 'comedy']",['AU'],7.0,8.3
73,73,ts12787,Code Geass: Lelouch of the Rebellion,2006,TV-14,24,"['scifi', 'action', 'animation', 'drama', 'war', 'thriller']",['JP'],3.0,8.7
74,74,ts35155,Gurren Lagann,2007,TV-14,24,"['action', 'scifi', 'animation', 'comedy', 'drama']",['JP'],1.0,8.3
75,75,ts15986,Dead Set,2008,TV-MA,141,"['scifi', 'reality', 'thriller', 'comedy', 'drama', 'horror', 'european']",['GB'],1.0,7.6
76,76,ts22318,Winx Club,2004,TV-G,23,"['animation', 'action', 'comedy', 'family', 'fantasy', 'thriller', 'european']",['IT'],8.0,6.2
77,77,ts30356,Octonauts,2010,TV-Y,15,"['action', 'animation', 'comedy', 'family']",['GB'],7.0,7.6
78,78,ts32186,Sonic X,2003,TV-Y7,21,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']",['JP'],3.0,6.2
79,79,ts21706,H2O: Just Add Water,2006,TV-PG,25,"['scifi', 'drama', 'family', 'fantasy']",['AU'],3.0,7.2
80,80,ts24028,Still Game,2002,TV-14,29,"['comedy', 'european']",['GB'],9.0,8.9
81,81,ts21740,Black Butler,2008,TV-MA,25,"['scifi', 'animation', 'drama', 'thriller', 'comedy', 'fantasy', 'action', 'horror', 'crime']",['JP'],3.0,8.2
82,82,ts687,The 4400,2004,TV-14,44,"['drama', 'scifi', 'thriller']",['US'],4.0,7.3
83,83,ts31514,Strawberry Shortcake,2003,TV-Y,23,"['animation', 'family']",['US'],4.0,7.0
84,84,ts33559,Shaun the Sheep,2007,TV-G,7,"['animation', 'comedy', 'family', 'european']",['GB'],6.0,8.1
85,85,ts26322,Toradora!,2008,TV-14,30,"['animation', 'comedy', 'drama', 'romance']",['JP'],2.0,8.0
86,86,ts12815,Big Time Rush,2009,TV-G,25,"['family', 'comedy']",['US'],4.0,6.3
87,87,ts23752,Midnight Diner,2009,TV-MA,27,"['drama', 'comedy']",['JP'],5.0,8.6
88,88,ts21421,Pocoyo,2005,TV-G,11,"['animation', 'family', 'comedy', 'european']","['GB', 'ES']",4.0,3.9
89,89,ts22005,Total Drama Island,2007,TV-PG,23,"['war', 'reality', 'animation', 'action', 'comedy', 'drama', 'family']",['CA'],6.0,7.3
90,90,ts20398,Kath & Kim,2002,,24,['comedy'],['AU'],4.0,8.3
91,91,ts98340,Metallica: Some Kind of Monster,2004,TV-MA,84,['western'],"['CA', 'US']",1.0,
92,92,ts20544,Ouran High School Host Club,2006,TV-14,23,"['comedy', 'drama', 'animation', 'romance']",['JP'],1.0,8.2
93,93,ts23835,Masha and the Bear,2009,TV-Y,7,"['family', 'action', 'animation', 'comedy']",['RU'],5.0,7.5
94,94,ts30288,Mobile Suit Gundam Unicorn,2010,TV-14,36,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],2.0,7.8
95,95,ts38159,Wakfu,2008,TV-Y7,22,"['action', 'scifi', 'family', 'fantasy', 'animation', 'european']",['FR'],3.0,8.1
96,96,ts25765,Vampire Knight,2008,TV-14,25,"['animation', 'drama', 'action', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",['JP'],2.0,7.3
97,97,ts21688,Boys Over Flowers,2009,TV-14,64,"['comedy', 'drama', 'romance']",['KR'],1.0,7.9
98,98,ts20535,The Garfield Show,2009,TV-G,17,"['animation', 'comedy', 'family', 'european']",['US'],5.0,5.4
99,99,ts1893,Ben & Holly's Little Kingdom,2009,TV-G,14,"['animation', 'comedy', 'family', 'fantasy', 'european']",['GB'],3.0,7.4
100,100,ts12701,Code Lyoko,2003,TV-G,24,"['action', 'animation', 'comedy', 'thriller', 'scifi', 'family', 'romance', 'fantasy']",['FR'],5.0,7.3
101,101,ts121176,DreamWorks Shrek's Swamp Stories,2010,TV-PG,24,"['comedy', 'family', 'fantasy', 'horror', 'music', 'animation', 'scifi']",['US'],1.0,6.5
102,102,ts20526,The Game,2006,TV-14,22,"['drama', 'comedy', 'romance', 'sport']",['US'],10.0,6.6
103,103,ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),2009,TV-MA,55,"['comedy', 'documentation']",['US'],1.0,8.1
104,104,ts31593,Pororo the Little Penguin,2003,,9,"['scifi', 'family', 'animation', 'action']",['KR'],7.0,6.3
105,105,ts27459,The Legend of Bruce Lee,2008,,45,"['action', 'drama']",['CN'],1.0,7.0
106,106,ts3666,Den-noh Coil,2007,TV-Y7,25,"['scifi', 'animation', 'comedy', 'drama']",['JP'],1.0,7.8
107,107,ts42914,Zig and Sharko,2010,,9,"['comedy', 'romance', 'action', 'animation', 'family', 'fantasy', 'european']",['FR'],3.0,6.8
108,108,ts21967,Johnny Test,2005,TV-Y7,18,"['animation', 'comedy', 'drama', 'family', 'scifi', 'action']","['CA', 'US']",6.0,5.1
109,109,ts14102,Bo on the Go!,2007,,22,['animation'],['CA'],4.0,4.2
110,110,ts20358,Half & Half,2002,TV-14,21,['comedy'],['US'],4.0,7.0
111,111,ts74931,Kung Fu Panda Awesome Secrets,2008,TV-PG,32,"['action', 'animation', 'comedy', 'family']",['US'],1.0,7.1
112,112,ts17028,Dinosaur King,2007,,20,"['action', 'animation', 'scifi', 'comedy', 'family', 'western']",['JP'],2.0,5.6
113,113,ts67595,El Escamoso,2001,TV-14,48,"['drama', 'comedy']",['CO'],1.0,7.5
114,114,ts52849,Horrid Henry,2006,,13,"['animation', 'comedy', 'family', 'music', 'fantasy', 'european']",['GB'],5.0,6.3
115,115,ts72322,The Mafia Dolls,2009,TV-14,43,"['drama', 'action']",['CO'],2.0,6.6
116,116,ts63295,Vientos de agua,2006,TV-MA,73,['drama'],"['AR', 'ES']",1.0,8.8
117,117,ts23319,Timmy Time,2009,TV-Y,14,"['animation', 'comedy', 'family', 'fantasy', 'european']",['GB'],3.0,6.9
118,118,ts21695,Iris,2009,TV-14,61,"['action', 'drama', 'comedy', 'reality', 'romance', 'thriller']",['KR'],2.0,7.8
119,119,ts56589,Tayo the Little Bus,2010,TV-Y,11,"['animation', 'comedy', 'family']",['KR'],6.0,5.3
120,120,ts21664,One on One,2001,TV-14,20,['comedy'],['US'],5.0,7.0
121,121,ts37200,Trotro,2004,TV-G,3,"['animation', 'family', 'european']",['FR'],2.0,6.3
122,122,ts98353,DreamWorks Spooky Stories,2009,TV-PG,26,['animation'],['US'],1.0,6.2
123,123,ts44663,Oscar's Oasis,2010,TV-Y,9,"['animation', 'comedy', 'european']",['FR'],1.0,7.4
124,124,ts98316,Edge of the Universe,2002,TV-G,49,['documentation'],['GB'],1.0,7.2
125,125,ts98252,Dreamworks Happy Holidays from Madagascar,2005,TV-PG,31,"['animation', 'comedy', 'family']",['US'],1.0,6.5
126,126,ts13411,Cocaine,2005,TV-14,49,"['documentation', 'european']",['US'],1.0,7.1
127,127,ts1464,The Cartel,2008,TV-MA,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",['CO'],2.0,8.0
128,128,ts34414,Nuevo Rico Nuevo Pobre,2007,TV-MA,44,['comedy'],['CO'],1.0,7.1
129,129,ts29199,Monty Python's Personal Best,2006,TV-PG,56,"['comedy', 'animation']","['US', 'GB']",1.0,7.9
130,130,ts18653,Chhota Bheem,2008,,22,"['animation', 'action', 'comedy']",['IN'],12.0,4.1
131,131,ts4866,Fated to Love You,2008,TV-G,67,"['comedy', 'family', 'drama', 'romance']",['TW'],1.0,7.4
132,132,ts137477,Behind Enemy Lines,2001,TV-14,49,['drama'],['US'],1.0,7.2
133,133,ts19384,A Lion in the House,2006,TV-14,190,['documentation'],['US'],1.0,
134,134,ts204466,Pecados capitales,2002,TV-MA,0,"['romance', 'comedy', 'drama']",['CO'],1.0,8.5
135,135,ts74928,Einsatzgruppen: The Nazi Death Squads,2009,TV-14,44,"['documentation', 'history', 'war', 'european']",['FR'],1.0,7.6
136,136,ts40702,The Ultimatum,2009,TV-14,44,"['drama', 'family']",['SG'],1.0,5.4
137,137,ts44053,The Qin Empire,2009,TV-MA,46,['war'],['CN'],3.0,
138,138,ts4924,At Dolphin Bay,2003,TV-14,59,"['drama', 'comedy', 'romance']",['TW'],1.0,6.9
139,139,ts178360,El cartel 2 - La guerra total,2010,TV-MA,44,"['horror', 'thriller', 'war', 'action', 'crime']",['CO'],1.0,6.7
140,140,ts56595,Cocomong,2008,TV-Y,13,['animation'],[],4.0,5.6
141,141,ts160526,Khawatir,2005,TV-14,19,['reality'],[],11.0,9.5
142,142,ts12444,The Fierce Wife,2010,TV-MA,59,['drama'],['TW'],1.0,6.8
143,143,ts95855,Wedding Planner,2002,TV-14,30,['drama'],[],1.0,
144,144,ts39604,The Hospital,2006,TV-14,48,['drama'],['TW'],1.0,7.4
145,145,ts1413,Autumn's Concerto,2009,TV-14,58,"['drama', 'family', 'romance']",['TW'],1.0,7.8
146,146,ts8614,Breakout,2010,TV-14,44,"['drama', 'action']",['SG'],1.0,6.7
147,147,ts188031,Pink Zone,2007,,0,"['drama', 'romance', 'comedy']",['MX'],1.0,5.8
148,148,ts25707,The Little Nyonya,2008,TV-14,44,['drama'],['SG'],1.0,
149,149,ts23797,Black & White,2009,TV-14,37,"['action', 'comedy', 'sport', 'crime']",['TW'],3.0,7.6
150,150,ts70843,The Prince Who Turns into a Frog,2005,TV-14,44,"['drama', 'comedy', 'romance']",['TW'],1.0,6.7
151,151,ts23353,Together,2009,TV-14,45,"['drama', 'comedy']",['SG'],1.0,
152,152,ts126804,My MVP Valentine,2002,TV-PG,69,['drama'],[],1.0,6.8
153,153,ts29581,Unriddle,2010,TV-14,44,"['thriller', 'action', 'drama']",['SG'],2.0,8.0
154,154,ts82583,The Family Court,2010,TV-MA,45,['drama'],['SG'],1.0,
155,155,ts124246,Mighty Raju,2010,,20,"['animation', 'action']",['IN'],4.0,4.3
156,156,ts86241,Le Robe De Mariage Des Cieux,2004,TV-MA,63,[],[],1.0,
157,157,ts82592,The Truth,2008,TV-14,44,"['thriller', 'drama']",['SG'],1.0,
158,158,ts20660,Shameless,2011,TV-MA,54,"['drama', 'comedy']",['US'],11.0,8.6
159,159,ts21095,Teenage Mutant Ninja Turtles,2012,TV-Y7,24,"['animation', 'scifi', 'action', 'family', 'thriller', 'horror', 'fantasy', 'crime', 'comedy', 'drama']",['US'],5.0,7.8
160,160,ts20564,New Girl,2011,TV-14,21,"['comedy', 'romance']",['US'],7.0,7.7
161,161,ts8175,Call the Midwife,2012,TV-PG,55,"['family', 'drama', 'history', 'european']",['GB'],11.0,8.5
162,162,ts278,Black Mirror,2011,TV-MA,59,"['drama', 'scifi', 'thriller', 'european']",['GB'],5.0,8.8
163,163,ts21580,Longmire,2012,TV-14,53,"['drama', 'western', 'crime', 'action']",['US'],6.0,8.3
164,164,ts32835,Hunter x Hunter,2011,TV-14,23,"['action', 'animation', 'comedy', 'fantasy']",['JP'],3.0,9.0
165,165,ts21599,Ink Master,2012,TV-14,42,['reality'],['US'],13.0,7.4
166,166,ts27680,Last Tango in Halifax,2012,TV-14,58,"['drama', 'comedy', 'romance', 'european']",['GB'],5.0,8.3
167,167,ts20433,JoJo's Bizarre Adventure,2012,TV-MA,24,"['scifi', 'animation', 'action', 'comedy', 'drama', 'fantasy', 'horror', 'thriller']",['JP'],5.0,8.4
168,168,ts17598,Arrow,2012,TV-14,42,"['action', 'crime', 'drama', 'thriller', 'scifi']",['US'],8.0,7.5
169,169,ts20458,Ninjago: Masters of Spinjitzu,2012,TV-Y7,17,"['animation', 'comedy', 'family', 'scifi', 'action', 'fantasy', 'european']","['DK', 'US']",16.0,7.3
170,170,ts20429,Sword Art Online,2012,TV-MA,23,"['scifi', 'action', 'animation', 'drama', 'western', 'fantasy', 'thriller', 'romance', 'comedy']",['JP'],4.0,7.6
171,171,ts20457,The Legend of Korra,2012,TV-Y7,23,"['animation', 'drama', 'family', 'scifi', 'action', 'fantasy', 'comedy']",['US'],4.0,8.4
172,172,ts6506,The Borgias,2011,TV-MA,51,"['drama', 'crime', 'history', 'romance']","['HU', 'US', 'CA']",3.0,7.9
173,173,ts9794,Comedians in Cars Getting Coffee,2012,TV-14,19,"['comedy', 'animation', 'family']",['US'],11.0,8.0
174,174,ts33338,Top Boy,2011,TV-MA,48,"['drama', 'crime', 'thriller', 'european']",['GB'],2.0,8.4
175,175,ts27468,Transformers: Rescue Bots,2012,TV-Y7,22,"['scifi', 'action', 'animation', 'comedy', 'family']",['US'],4.0,6.4
176,176,ts20500,Lilyhammer,2012,TV-MA,45,"['comedy', 'crime', 'drama']",['NO'],3.0,7.9
177,177,ts20556,Teen Mom 2,2011,TV-14,41,"['reality', 'romance', 'documentation', 'comedy']",['US'],11.0,4.5
178,178,ts9246,Blue Exorcist,2011,TV-14,25,"['scifi', 'action', 'fantasy', 'horror', 'family', 'animation', 'drama']",['JP'],2.0,7.5
179,179,ts27835,MeatEater,2012,TV-14,22,['documentation'],['US'],10.0,7.5
180,180,ts20648,X-Men,2011,TV-14,24,"['action', 'scifi']",['JP'],1.0,
181,181,ts18551,Cuckoo,2012,TV-14,27,"['comedy', 'drama', 'european']",['GB'],5.0,5.9
182,182,ts36647,Rita,2012,TV-MA,40,"['comedy', 'drama', 'european']",['DK'],5.0,8.1
183,183,ts81858,Larva,2011,TV-G,2,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",['KR'],5.0,7.1
184,184,ts34740,My Babysitter's a Vampire,2011,TV-PG,22,"['scifi', 'action', 'comedy', 'fantasy', 'horror']","['CA', 'US']",2.0,6.9
185,185,ts21081,Pablo Escobar: The Drug Lord,2012,TV-14,44,"['crime', 'drama', 'thriller', 'history']",['CO'],1.0,8.4
186,186,ts27586,Magi,2012,TV-14,24,"['scifi', 'action', 'animation', 'comedy', 'fantasy']",['JP'],3.0,7.8
187,187,ts19779,Barbie: Life in the Dreamhouse,2012,TV-Y,6,"['family', 'animation', 'comedy']",['US'],7.0,7.4
188,188,ts22249,Kuroko's Basketball,2012,TV-14,24,"['comedy', 'animation', 'sport']",['JP'],3.0,8.3
189,189,ts34921,Wolverine,2011,TV-14,24,"['scifi', 'animation', 'action']",['JP'],1.0,6.2
190,190,ts34737,La Reina del Sur,2011,TV-MA,41,"['drama', 'crime', 'action', 'thriller']",['MX'],2.0,8.0
191,191,ts34151,TIGER & BUNNY,2011,TV-14,25,"['scifi', 'action', 'animation', 'comedy', 'crime']",['JP'],2.0,7.3
192,192,ts32460,Inborn Pair,2011,TV-14,43,['drama'],['TW'],1.0,7.1
193,193,ts26776,Smile PreCure!,2012,TV-Y7,23,"['action', 'comedy', 'scifi', 'family', 'fantasy', 'animation']",['JP'],2.0,6.2
194,194,ts39093,EastSiders,2012,TV-MA,23,"['comedy', 'drama']",['US'],4.0,6.8
195,195,ts33349,Robocar Poli,2011,TV-Y,14,"['animation', 'comedy', 'family', 'fantasy']",['KR'],4.0,6.0
196,196,ts55532,LEGO Friends,2012,TV-Y,16,"['animation', 'european']",['US'],5.0,7.6
197,197,ts191698,Little Baby Bum,2011,TV-Y,7,"['family', 'music', 'animation']",['GB'],4.0,6.4
198,198,ts45996,Outback Truckers,2012,TV-14,44,"['reality', 'documentation']",['AU'],9.0,7.4
199,199,ts35426,LEGO City,2011,TV-G,4,"['animation', 'european']",['GB'],3.0,5.0
200,200,ts58528,Inside West Coast Customs,2011,TV-PG,43,['reality'],['US'],8.0,7.3
201,201,ts6879,El Reemplazante,2012,TV-MA,45,['drama'],['CL'],2.0,8.5
202,202,ts39112,Justin Time,2011,TV-Y,15,"['action', 'animation', 'comedy', 'family']",['CA'],3.0,6.0
203,203,ts167724,Meet the Adebanjos,2012,TV-PG,25,['comedy'],['GB'],3.0,7.6
204,204,ts99814,Masameer,2011,TV-MA,14,"['comedy', 'animation']",['SA'],1.0,8.2
205,205,ts158608,The Ultimate Braai Master,2012,TV-PG,45,['reality'],['ZA'],5.0,8.1
206,206,ts32561,Office Girls,2011,TV-14,46,"['comedy', 'drama', 'romance']",['TW'],1.0,6.8
207,207,ts37864,The Glamorous Imperial Concubine,2011,TV-PG,47,"['drama', 'history', 'romance']",['CN'],1.0,6.8
208,208,ts44064,Drunken to Love You,2011,TV-14,46,"['comedy', 'drama', 'romance']",['TW'],1.0,6.5
209,209,ts27875,Masha's tales,2012,TV-Y,5,"['animation', 'family']",['RU'],2.0,6.4
210,210,ts41114,The Oath,2011,TV-14,44,['drama'],['SG'],1.0,7.9
211,211,ts128422,Takki,2012,,16,['drama'],['SA'],3.0,6.6
212,212,ts60663,The In-Laws,2011,TV-14,44,"['family', 'drama']",['SG'],1.0,
213,213,ts39465,Yours Fatefully,2012,TV-14,44,"['drama', 'comedy', 'romance']",['SG'],1.0,6.7
214,214,ts69208,"Love, Now",2012,TV-Y,45,['drama'],['TW'],1.0,7.5
215,215,ts20110,Peaky Blinders,2013,TV-MA,58,"['crime', 'drama', 'european']",['GB'],6.0,8.8
216,216,ts20837,Outlander,2014,TV-MA,60,"['scifi', 'romance', 'drama', 'fantasy']",['US'],6.0,8.4
217,217,ts20682,Attack on Titan,2013,TV-MA,24,"['action', 'scifi', 'animation', 'horror', 'drama', 'fantasy']",['JP'],4.0,9.0
218,218,ts20824,The Originals,2013,TV-14,43,"['scifi', 'drama', 'fantasy', 'horror']",['US'],5.0,8.3
219,219,ts1639,The Blacklist,2013,TV-14,43,"['thriller', 'drama', 'crime']",['US'],9.0,8.0
220,220,ts20351,Married at First Sight,2014,TV-PG,64,"['reality', 'romance', 'european']",['US'],15.0,6.1
221,221,ts11188,The Flash,2014,TV-14,42,"['drama', 'scifi', 'family', 'animation', 'action']",['US'],8.0,7.6
222,222,ts20248,Reign,2013,TV-14,42,"['drama', 'fantasy', 'history']",['US'],4.0,7.5
223,223,ts8146,The 100,2014,TV-14,42,"['scifi', 'drama', 'action']",['US'],7.0,7.6
224,224,ts16045,Are You The One?,2014,TV-14,41,['reality'],['US'],8.0,6.4
225,225,ts20292,Gotham,2014,TV-14,43,"['drama', 'scifi', 'thriller', 'action', 'crime']",['US'],5.0,7.8
226,226,ts6,House of Cards,2013,TV-MA,52,['drama'],['US'],6.0,8.7
227,227,ts21374,How to Get Away with Murder,2014,TV-14,43,"['crime', 'drama', 'thriller']",['US'],6.0,8.1
228,228,ts14583,BoJack Horseman,2014,TV-MA,26,"['comedy', 'drama', 'animation']",['US'],6.0,8.8
229,229,ts20261,Madam Secretary,2014,TV-14,43,"['war', 'thriller', 'drama']",['US'],6.0,7.6
230,230,ts21367,Jane the Virgin,2014,TV-14,42,"['drama', 'comedy']",['US'],5.0,7.8
231,231,ts20108,Henry Danger,2014,TV-G,24,"['comedy', 'family', 'action', 'scifi', 'thriller', 'drama']",['US'],5.0,5.6
232,232,ts20823,Orange Is the New Black,2013,TV-MA,59,"['drama', 'comedy', 'crime']",['US'],7.0,8.1
233,233,ts32218,The Thundermans,2013,TV-G,24,"['action', 'scifi', 'family', 'comedy', 'drama']",['US'],4.0,5.6
234,234,ts35682,Wentworth,2013,TV-MA,46,"['drama', 'thriller', 'crime']",['AU'],9.0,8.6
