Unnamed: 0,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,,history,sport,war,horror,romance,crime,reality,music,comedy,thriller,european,family,fantasy,western,animation,documentation,scifi,drama,action
22,ts22193,The Magic School Bus,1994,TV-Y,26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","['CA', 'US']",4.0,7.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
23,ts22489,Goosebumps,1995,TV-PG,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",4.0,7.6,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
24,ts21034,InuYasha,2000,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",['JP'],9.0,7.9,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1
25,ts16919,All That,1994,TV-G,22,"['comedy', 'family', 'music']",['US'],11.0,7.5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
26,ts8570,Barney & Friends,1992,TV-G,28,"['comedy', 'family']",['US'],14.0,3.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27,ts27693,Kenan & Kel,1996,TV-Y7,25,"['family', 'comedy']",['US'],4.0,7.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
28,ts251477,My First Errand,1991,TV-G,18,"['documentation', 'family', 'reality']",['JP'],12.0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
29,ts22286,Cardcaptor Sakura,1998,TV-Y7,25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['JP'],4.0,8.0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1
30,ts11397,Adventures of Sonic the Hedgehog,1993,TV-Y7,22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",['US'],4.0,6.2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1
31,ts21581,Girlfriends,2000,TV-PG,21,"['drama', 'comedy']",['US'],8.0,7.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32,ts20918,The Parkers,1999,TV-PG,19,['comedy'],['US'],5.0,6.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,ts21693,"Sister, Sister",1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,6.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
34,ts20939,Moesha,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,5.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
35,ts21684,Heartbreak High,1994,TV-MA,45,"['drama', 'romance', 'comedy']",['AU'],7.0,7.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,ts22080,Oggy and the Cockroaches,1999,TV-Y7,9,"['animation', 'comedy', 'family', 'action', 'european']",['FR'],7.0,7.4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
37,ts28516,Okupas,2000,TV-MA,40,"['drama', 'crime']",['AR'],1.0,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38,ts22039,H,1998,TV-MA,25,['comedy'],['FR'],4.0,7.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,ts224786,Escalona,1991,TV-MA,44,['drama'],['CO'],1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,ts4,Breaking Bad,2008,TV-MA,48,"['drama', 'crime', 'thriller']",['US'],5.0,9.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
41,ts20371,Top Gear,2002,TV-PG,58,"['comedy', 'reality', 'european', 'music']",['GB'],32.0,8.7,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
42,ts9,The Walking Dead,2010,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",['US'],11.0,8.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
43,ts21465,Supernatural,2005,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",['US'],15.0,8.4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
44,ts288536,The Great British Baking Show,2010,TV-PG,57,"['reality', 'european']",['GB'],12.0,8.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,ts12724,30 Rock,2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,8.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,ts6644,Borgen,2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,8.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
47,ts8308,Community,2009,TV-PG,23,['comedy'],['US'],6.0,8.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,ts21469,Grey's Anatomy,2005,TV-14,49,"['drama', 'romance']",['US'],19.0,7.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,ts17156,Arrested Development,2003,TV-MA,28,['comedy'],['US'],5.0,8.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,ts22011,Heartland,2007,TV-PG,44,"['drama', 'family']",['CA'],15.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
51,ts26091,The Staircase,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],2.0,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
52,ts22337,NCIS,2003,TV-14,43,"['crime', 'action', 'thriller', 'drama', 'comedy']",['US'],20.0,7.8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1
53,ts3371,Avatar: The Last Airbender,2005,TV-Y7,24,"['scifi', 'animation', 'action', 'family', 'fantasy']",['US'],3.0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
54,ts20604,Friday Night Lights,2006,TV-14,43,"['drama', 'sport']",['US'],5.0,8.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,ts20573,The IT Crowd,2006,TV-14,25,"['comedy', 'european']",['GB'],5.0,8.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
